序号,股票代码,股票简称,最新价,涨跌幅,换手率,流入资金,流出资金,净额,成交额
119,301085,亚康股份,69.02,7.11%,14.80%,2.80亿,3.11亿,-3107.49万,5.92亿
120,603032,德新科技,21.57,7.10%,10.08%,2.48亿,2.49亿,-126.56万,4.96亿
121,2842,翔鹭钨业,33.92,7.07%,14.53%,7.81亿,4.96亿,2.85亿,12.77亿
122,301178,天亿马,55.93,7.04%,6.79%,1.04亿,8155.63万,2273.66万,1.86亿
123,301086,鸿富瀚,156.78,6.97%,4.54%,1.88亿,1.36亿,5215.40万,3.24亿
124,300276,三丰智能,7.37,6.97%,5.04%,2.24亿,1.65亿,5866.75万,3.89亿
125,300502,新易盛,531.58,6.96%,3.27%,84.93亿,64.68亿,20.25亿,149.61亿
126,300895,铜牛信息,64.32,6.95%,9.91%,5.26亿,3.33亿,1.93亿,8.60亿
127,600094,大名城,4.93,6.94%,1.79%,1.00亿,8042.04万,1963.44万,1.80亿
128,603110,东方材料,17.74,6.93%,5.14%,1.18亿,5926.05万,5873.44万,1.77亿
129,300277,汽轮科技,19.91,6.87%,5.23%,5.03亿,2.82亿,2.21亿,7.85亿
130,300953,震裕科技,201.78,6.85%,7.21%,10.07亿,7.95亿,2.13亿,18.02亿
131,300687,赛意信息,20.28,6.85%,3.75%,1.42亿,1.01亿,4030.23万,2.43亿
132,301345,涛涛车业,236.91,6.84%,6.14%,2.99亿,2.10亿,8852.23万,5.09亿
133,603358,华达科技,34.83,6.81%,2.87%,2.53亿,1.95亿,5780.99万,4.49亿
134,300163,先锋新材,4.89,6.77%,6.77%,9897.34万,4655.85万,5241.49万,1.46亿
135,300806,斯迪克,55.46,6.76%,5.54%,5.39亿,3.93亿,1.45亿,9.32亿
136,301222,浙江恒威,39.0,6.76%,6.07%,1.11亿,7449.95万,3606.57万,1.85亿
137,2798,帝欧水华,7.12,6.75%,9.22%,1.62亿,1.45亿,1702.26万,3.08亿
138,300991,创益通,55.45,6.74%,3.14%,9250.04万,6112.30万,3137.74万,1.54亿
139,2328,新朋股份,13.34,6.72%,24.46%,9.74亿,8.60亿,1.15亿,18.34亿
140,688719,爱科赛博,53.35,6.70%,4.58%,1.16亿,9879.88万,1734.03万,2.15亿
141,605198,安德利,47.14,6.70%,1.16%,9166.60万,5259.62万,3906.98万,1.44亿
142,300843,胜蓝股份,68.87,6.68%,4.66%,2.71亿,2.31亿,3996.10万,5.03亿
143,603458,勘设股份,12.16,6.67%,4.88%,1.04亿,7152.83万,3243.20万,1.76亿
144,300949,奥雅股份,39.68,6.64%,2.37%,1980.93万,1134.65万,846.28万,3115.98万
145,600184,光电股份,21.63,6.60%,5.89%,4.29亿,3.03亿,1.26亿,7.31亿
146,688382,益方生物,22.67,6.58%,4.35%,3.19亿,2.39亿,8044.80万,5.58亿
147,600654,中安科,4.7,6.58%,14.28%,8.93亿,6.00亿,2.93亿,14.93亿
148,2491,通鼎互联,15.13,6.55%,15.20%,16.25亿,10.09亿,6.17亿,26.34亿
149,603206,嘉环科技,17.59,6.54%,4.96%,1.37亿,1.30亿,752.31万,2.67亿
150,301360,荣旗科技,79.88,6.51%,9.88%,1.28亿,7119.52万,5648.69万,1.99亿
151,300383,光环新网,19.01,6.50%,8.27%,16.53亿,11.11亿,5.41亿,27.64亿
152,300928,华安鑫创,30.54,6.41%,5.21%,4568.24万,3932.74万,635.50万,8501.59万
153,603399,永杉锂业,12.82,6.39%,14.17%,4.38亿,4.93亿,-5517.33万,9.31亿
